ts_code,group_value,effect_obs,boot_mean,boot_ci_low,boot_ci_high,p_boot_two_sided,n_boot,block_len,n_days
000852.SH,甲,-0.00045314055546184513,-0.0004471813901748256,-0.0019718869600582403,0.001057826386151419,0.564,1000,10,3916
000852.SH,乙,6.284274049436673e-05,4.159261230735731e-05,-0.0013652240380214473,0.0015024432775933116,0.98,1000,10,3916
000852.SH,丙,-0.0018835359708833284,-0.0019153521191311407,-0.0036483684356835564,-0.00022246541864056726,0.03,1000,10,3916
000852.SH,丁,0.0007247852351813844,0.0007448667078970929,-0.0008652171611358377,0.0023963716673152855,0.41,1000,10,3916
000852.SH,戊,0.000333155065970701,0.0003599350205216991,-0.0012026986646214409,0.0018917597676862102,0.652,1000,10,3916
000852.SH,己,0.0004269650870544404,0.00043138011177436405,-0.0010750115103921902,0.002000053311566514,0.574,1000,10,3916
000852.SH,庚,-2.8899013321700414e-05,-5.861184238817389e-05,-0.0015877077703482915,0.0015709022736799378,0.938,1000,10,3916
000852.SH,辛,-5.34808180788141e-05,-6.963393965330508e-05,-0.0014460739490325125,0.0013805218019760882,0.886,1000,10,3916
000852.SH,壬,-0.00013390302850490657,-0.00010322468003286636,-0.0016068617015196093,0.0014817591148509033,0.868,1000,10,3916
000852.SH,癸,0.001040984581879381,0.0010530351624082827,-0.0005074318790840091,0.0024873660134310653,0.204,1000,10,3916
