group_value,effect_meta,se_meta,z_meta,p_meta,I2,n_indices_used,sign_consistent_count,q_meta
甲,-0.0006456823128760128,0.00033815208288214715,-1.9094435479229215,0.05620489757301991,0.0,4,4,0.1405122439325498
乙,4.158808478498915e-05,0.00034970753838456506,0.11892247155180202,0.9053367783730764,0.0,4,3,0.921520245210106
丙,-0.0019176382197164273,0.00037231799590962717,-5.150538627689369,2.5973942775514444e-07,0.0,4,4,2.5973942775514445e-06
丁,0.0007977635305610366,0.00036684074930881205,2.1746862420932067,0.02965363657173666,0.0,4,4,0.09884545523912219
戊,0.00023777659220662736,0.0003464824525455463,0.6862586848474551,0.4925499971640418,0.0,4,4,0.8667822877680061
己,0.00015822957466446022,0.0003111995083008781,0.5084505934099309,0.6111373794390305,0.0,4,3,0.8713923009444524
庚,0.0001346451837523797,0.0003459364506102412,0.38921941736657695,0.6971138407555619,0.0,4,3,0.8713923009444524
辛,-3.0878436854456104e-05,0.0003134264498355739,-0.0985189248407567,0.921520245210106,0.0,4,3,0.921520245210106
壬,0.00020803684551856704,0.00032342102383427527,0.6432384730349736,0.5200693726608037,0.0,4,3,0.8667822877680061
癸,0.0010543881776706753,0.00033467413752312307,3.15049195457425,0.0016299574584833609,0.0,4,4,0.008149787292416805
