ts_code,group_value,n_years,neg_ratio,pos_ratio,match_ratio,p_sign
000300.SH,丁,11,0.36363636363636365,0.6363636363636364,0.6363636363636364,0.548828125
000300.SH,丙,11,0.9090909090909091,0.09090909090909091,0.9090909090909091,0.01171875
000300.SH,乙,11,0.5454545454545454,0.45454545454545453,0.45454545454545453,1.0
000300.SH,壬,11,0.45454545454545453,0.5454545454545454,0.5454545454545454,1.0
000300.SH,己,11,0.6363636363636364,0.36363636363636365,0.36363636363636365,0.548828125
000300.SH,庚,11,0.45454545454545453,0.5454545454545454,0.5454545454545454,1.0
000300.SH,戊,11,0.45454545454545453,0.5454545454545454,0.5454545454545454,1.0
000300.SH,甲,11,0.45454545454545453,0.5454545454545454,0.45454545454545453,1.0
000300.SH,癸,11,0.2727272727272727,0.7272727272727273,0.7272727272727273,0.2265625
000300.SH,辛,11,0.5454545454545454,0.45454545454545453,0.5454545454545454,1.0
000852.SH,丁,11,0.36363636363636365,0.6363636363636364,0.6363636363636364,0.548828125
000852.SH,丙,11,0.9090909090909091,0.09090909090909091,0.9090909090909091,0.01171875
000852.SH,乙,11,0.6363636363636364,0.36363636363636365,0.36363636363636365,0.548828125
000852.SH,壬,11,0.5454545454545454,0.45454545454545453,0.45454545454545453,1.0
000852.SH,己,11,0.36363636363636365,0.6363636363636364,0.6363636363636364,0.548828125
000852.SH,庚,11,0.5454545454545454,0.45454545454545453,0.45454545454545453,1.0
000852.SH,戊,11,0.36363636363636365,0.6363636363636364,0.6363636363636364,0.548828125
000852.SH,甲,11,0.5454545454545454,0.45454545454545453,0.5454545454545454,1.0
000852.SH,癸,11,0.2727272727272727,0.7272727272727273,0.7272727272727273,0.2265625
000852.SH,辛,11,0.5454545454545454,0.45454545454545453,0.5454545454545454,1.0
000001.SH,丁,11,0.36363636363636365,0.6363636363636364,0.6363636363636364,0.548828125
000001.SH,丙,11,1.0,0.0,1.0,0.0009765625
000001.SH,乙,11,0.5454545454545454,0.45454545454545453,0.45454545454545453,1.0
000001.SH,壬,11,0.5454545454545454,0.45454545454545453,0.45454545454545453,1.0
000001.SH,己,11,0.7272727272727273,0.2727272727272727,0.2727272727272727,0.2265625
000001.SH,庚,11,0.36363636363636365,0.6363636363636364,0.6363636363636364,0.548828125
000001.SH,戊,11,0.45454545454545453,0.5454545454545454,0.5454545454545454,1.0
000001.SH,甲,11,0.5454545454545454,0.45454545454545453,0.5454545454545454,1.0
000001.SH,癸,11,0.2727272727272727,0.7272727272727273,0.7272727272727273,0.2265625
000001.SH,辛,11,0.5454545454545454,0.45454545454545453,0.5454545454545454,1.0
399001.SZ,丁,11,0.36363636363636365,0.6363636363636364,0.6363636363636364,0.548828125
399001.SZ,丙,11,1.0,0.0,1.0,0.0009765625
399001.SZ,乙,11,0.5454545454545454,0.45454545454545453,0.45454545454545453,1.0
399001.SZ,壬,11,0.6363636363636364,0.36363636363636365,0.36363636363636365,0.548828125
399001.SZ,己,11,0.45454545454545453,0.5454545454545454,0.5454545454545454,1.0
399001.SZ,庚,11,0.45454545454545453,0.5454545454545454,0.5454545454545454,1.0
399001.SZ,戊,11,0.45454545454545453,0.5454545454545454,0.5454545454545454,1.0
399001.SZ,甲,11,0.5454545454545454,0.45454545454545453,0.5454545454545454,1.0
399001.SZ,癸,11,0.2727272727272727,0.7272727272727273,0.7272727272727273,0.2265625
399001.SZ,辛,11,0.45454545454545453,0.5454545454545454,0.45454545454545453,1.0
