group_col,target,k_groups,t_obs,p_empirical,t_perm_mean,t_perm_p95,t_perm_p99,ts_code,n
stem,ret_1d,10,0.0019789351442205945,0.03396603396603397,0.001240176694376744,0.0018603830201922111,0.002210818251959326,000300.SH,3916
stem,up,10,0.046107138803768044,0.4125874125874126,0.04481479663237032,0.06895775291402229,0.07789335540011122,000300.SH,3916
branch,ret_1d,12,0.0014588022271344442,0.4095904095904096,0.0014008527874683114,0.0020559395653145652,0.0023750550844414873,000300.SH,3916
branch,up,12,0.04932571736528446,0.5024975024975025,0.05074000634402899,0.07386559466589798,0.08660891057894804,000300.SH,3916
ganzhi_day,ret_1d,60,0.0049366705816307355,0.1998001998001998,0.0043666905111127184,0.005736652767722817,0.006637517853926459,000300.SH,3916
ganzhi_day,up,60,0.17805158324821246,0.18181818181818182,0.15711218374646962,0.20024879683989977,0.22377877389464465,000300.SH,3916
stem,ret_1d,10,0.0019214224331128489,0.17082917082917082,0.0015281533607945093,0.0022800500987727825,0.0028455835921262643,000852.SH,3916
stem,up,10,0.046787445925151716,0.3966033966033966,0.044768000779933426,0.06647940318654916,0.08230855373257588,000852.SH,3916
branch,ret_1d,12,0.0016537675210008076,0.5234765234765235,0.001732560444824878,0.0025356722513216415,0.003023208932491015,000852.SH,3916
branch,up,12,0.0449438202247191,0.6703296703296703,0.05067005012517525,0.07525608925650029,0.0867432159500352,000852.SH,3916
ganzhi_day,ret_1d,60,0.006119215499456543,0.1888111888111888,0.005401498130969211,0.007092029923199925,0.007738873587704397,000852.SH,3916
ganzhi_day,up,60,0.17147409022304205,0.26673326673326675,0.15687689585614706,0.2011938202247191,0.22144313386547354,000852.SH,3916
stem,ret_1d,10,0.0016257906297856212,0.06793206793206794,0.0011355755859027061,0.0016861601089232401,0.0020473039019514106,000001.SH,3916
stem,up,10,0.0635806721513541,0.06993006993006994,0.04446434386463347,0.06691056490089345,0.0811352624596083,000001.SH,3916
branch,ret_1d,12,0.0016328701431338468,0.15184815184815184,0.0012839154334845291,0.0018607046998379273,0.0021463220159145236,000001.SH,3916
branch,up,12,0.05058999730537611,0.4565434565434565,0.05046818508388023,0.07334763988717186,0.08740232917431615,000001.SH,3916
ganzhi_day,ret_1d,60,0.004396248609415593,0.2547452547452547,0.0040115278121014356,0.005316883204314216,0.0059234880737838525,000001.SH,3916
ganzhi_day,up,60,0.14889236465781408,0.5924075924075924,0.15653897348635656,0.19990571226526282,0.22701736465781408,000001.SH,3916
stem,ret_1d,10,0.0023563365257919418,0.024975024975024976,0.0014104233276603427,0.0021124337425912337,0.0026072279345515305,399001.SZ,3916
stem,up,10,0.03701970165243895,0.6973026973026973,0.04459247519268702,0.06683768419510133,0.08114090862375442,399001.SZ,3916
branch,ret_1d,12,0.0015947252724964707,0.4875124875124875,0.0015945486609066201,0.0022993332410788233,0.002720284098455737,399001.SZ,3916
branch,up,12,0.031786894146444755,0.9460539460539461,0.05109854020298462,0.07555656743419031,0.08614843809567604,399001.SZ,3916
ganzhi_day,ret_1d,60,0.00527911274818545,0.3196803196803197,0.004991437507116419,0.00660502463707613,0.00729714285386667,399001.SZ,3916
ganzhi_day,up,60,0.12661030902687787,0.9120879120879121,0.15663009717627102,0.2028696373850868,0.2299033675438169,399001.SZ,3916
