ts_code,bucket,n_all,n_bing,mean_ret_all,mean_ret_bing,effect_bing_minus_all,p_value_welch
000300.SH,2010-2015,1456,145,0.00015920932503242708,-0.0021369070448925,-0.002296116369924927,0.0841682419665663
000300.SH,2016-2020,1218,125,0.0003530877447738956,-0.0003967987497673024,-0.000749886494541198,0.4959811637974594
000300.SH,2021-now,1242,125,-2.588622308109758e-05,-0.0028696750231294835,-0.002843788800048386,0.012248935750759025
000852.SH,2010-2015,1456,145,0.0007848748344135047,-0.00015850846634603714,-0.0009433833007595418,0.5443160516055494
000852.SH,2016-2020,1218,125,-0.0002494231916870319,-0.0031184176553569563,-0.002868994463669924,0.04472829938292249
000852.SH,2021-now,1242,125,0.00028295647237954553,-0.0018088091716644498,-0.0020917656440439954,0.16894059115805724
000001.SH,2010-2015,1456,145,0.00016267636470012765,-0.001687141923897223,-0.0018498182885973505,0.13482565183334405
000001.SH,2016-2020,1218,125,5.463397068743929e-05,-0.0010374821993827325,-0.0010921161700701719,0.3081330454935341
000001.SH,2021-now,1242,125,0.00017871164644383798,-0.0017189938120677638,-0.0018977054585116017,0.06501593471285774
399001.SZ,2010-2015,1456,145,9.509668304888999e-05,-0.001847858274922134,-0.0019429549579710241,0.1758940044290245
399001.SZ,2016-2020,1218,125,0.00022334410578023518,-0.0018316538826268504,-0.0020549979884070856,0.10576774713099507
399001.SZ,2021-now,1242,125,7.54281924454241e-05,-0.0030640114394168646,-0.0031394396318622886,0.027309038102583918
