ts_code,oos_year,train_years,n_train,n_oos,spearman_mean_ret,spearman_p_up,train_bing_mean_ret_diff,oos_bing_mean_ret_diff
000001.SH,2015,5,1212,244,-0.18787878787878787,0.06707441766510144,-0.0017319298823586268,-0.002511182702102837
000001.SH,2016,5,1214,244,-0.49090909090909085,-0.2796365500928297,-0.0011676818553044187,-7.732776335491392e-05
000001.SH,2017,5,1214,244,0.11515151515151514,0.1036604636642477,-0.0015231139526621436,-0.0007709427974828496
000001.SH,2018,5,1215,243,0.23636363636363633,0.14589733048321551,-0.0017662448351988677,-2.0448808495323158e-05
000001.SH,2019,5,1220,244,0.5393939393939393,-0.01829268292682927,-0.0009943526934863191,-0.0014261774581390226
000001.SH,2020,5,1219,243,-0.2727272727272727,0.1743127416937839,-0.0009411798316188305,-0.0031622803028995014
000001.SH,2021,5,1218,243,0.41818181818181815,-0.2553203283456271,-0.0011006230529277666,-0.0025712820758886194
000001.SH,2022,5,1217,242,0.16363636363636364,0.8909090909090909,-0.0016003448389397858,-0.003355507050292018
000001.SH,2023,5,1215,242,0.5636363636363636,0.32121212121212117,-0.0021058389662115553,-9.503219230227937e-05
000001.SH,2024,5,1214,242,-0.05454545454545454,0.2195162759948775,-0.002128411792886486,-0.0034400807290919876
000001.SH,2025,5,1212,243,0.5636363636363636,0.43030303030303024,-0.0025324531070331203,-0.0007938164455120797
