ts_code,maxlags,group_value,marginal_effect_vs_all,se_effect,z_effect,p_value_effect,q_value_effect
ndx,0,甲,-0.0007602676542208273,0.0006221506730851621,-1.2219992473057395,0.2217079116268721,0.9950659383323892
ndx,0,乙,-0.00017718026315025634,0.0006252184495441852,-0.28338937099413714,0.7768783752994919,0.9950659383323892
ndx,0,丙,0.00039523720929200213,0.000584634683762133,0.6760413302006727,0.49901440465829083,0.9950659383323892
ndx,0,丁,0.00021394618916437244,0.0006382145382930404,0.3352261290327075,0.7374545131011705,0.9950659383323892
ndx,0,戊,4.410564761255604e-06,0.0007132256009811792,0.006183968656184146,0.9950659383323891,0.9950659383323892
ndx,0,己,-6.824826528202207e-05,0.0006130612798350806,-0.1113237249306979,0.9113596425610803,0.9950659383323892
ndx,0,庚,-0.0005277841063151611,0.0005845819797010053,-0.9028401911826047,0.3666107168991384,0.9950659383323892
ndx,0,辛,0.0008624229597128573,0.0006052219397264412,1.4249697558926409,0.15416594380411944,0.9950659383323892
ndx,0,壬,0.0001200414644616718,0.0005861210155219714,0.20480662061702157,0.8377232141565129,0.9950659383323892
ndx,0,癸,-5.5766014651105586e-05,0.0005695992023993205,-0.09790395494973057,0.9220085594814414,0.9950659383323892
ndx,1,甲,-0.0007602676542208273,0.0006208089435672234,-1.2246403053607149,0.2207107747509508,0.9951286414080508
ndx,1,乙,-0.00017718026315025634,0.0006391211886088732,-0.27722483045181334,0.7816074745924887,0.9951286414080508
ndx,1,丙,0.00039523720929200213,0.0005900665081021257,0.6698180694295505,0.502973773317483,0.9951286414080508
ndx,1,丁,0.00021394618916437244,0.0006432504858590306,0.33260167519136435,0.7394349786828116,0.9951286414080508
ndx,1,戊,4.410564761255604e-06,0.0007224062031543052,0.006105380521370773,0.9951286414080508,0.9951286414080508
ndx,1,己,-6.824826528202207e-05,0.0006170675055433566,-0.11060097099413192,0.91193277746995,0.9951286414080508
ndx,1,庚,-0.0005277841063151611,0.0005883646928020218,-0.897035652839139,0.3696998927281143,0.9951286414080508
ndx,1,辛,0.0008624229597128573,0.0006061195748533369,1.4228594414254618,0.15477690576362366,0.9951286414080508
ndx,1,壬,0.0001200414644616718,0.0005876278268236127,0.2042814498941427,0.8381335651607452,0.9951286414080508
ndx,1,癸,-5.5766014651105586e-05,0.0005637147688770831,-0.0989259422139873,0.921197071024664,0.9951286414080508
ndx,3,甲,-0.0007602676542208273,0.0006191484058493427,-1.2279247544502652,0.21947521589182883,0.9950881177693001
ndx,3,乙,-0.00017718026315025634,0.0006456980683948084,-0.2744011045142548,0.7837763942961997,0.9950881177693001
ndx,3,丙,0.00039523720929200213,0.0005947354997977971,0.6645596394134501,0.5063321913200336,0.9950881177693001
ndx,3,丁,0.00021394618916437244,0.0006439773915774762,0.33222624266403766,0.7397184292918978,0.9950881177693001
ndx,3,戊,4.410564761255604e-06,0.0007164461878503497,0.006156170325212178,0.9950881177693001,0.9950881177693001
ndx,3,己,-6.824826528202207e-05,0.0006190015069246861,-0.1102554105580326,0.9122068188182697,0.9950881177693001
ndx,3,庚,-0.0005277841063151611,0.0005897206471188366,-0.8949730841097813,0.3708014764155282,0.9950881177693001
ndx,3,辛,0.0008624229597128573,0.0006023649524491133,1.4317283172043669,0.1522215890313473,0.9950881177693001
ndx,3,壬,0.0001200414644616718,0.0005982003495397556,0.20067100354259154,0.8409558343067334,0.9950881177693001
ndx,3,癸,-5.5766014651105586e-05,0.0005639474918949432,-0.09888511865479507,0.9212294845842586,0.9950881177693001
ndx,5,甲,-0.0007602676542208273,0.0006201682597570515,-1.2259054575264126,0.22023425482153647,0.9951016284396619
ndx,5,乙,-0.00017718026315025634,0.0006515825581549315,-0.2719229680609818,0.7856812504751457,0.9951016284396619
ndx,5,丙,0.00039523720929200213,0.0005981848199026231,0.6607275814126169,0.5087870323924404,0.9951016284396619
ndx,5,丁,0.00021394618916437244,0.0006423100871752751,0.3330886334126502,0.7390673791859801,0.9951016284396619
ndx,5,戊,4.410564761255604e-06,0.0007184223120114134,0.006139236891052519,0.995101628439662,0.9951016284396619
ndx,5,己,-6.824826528202207e-05,0.0006180029862911932,-0.11043355258135375,0.9120655447416111,0.9951016284396619
ndx,5,庚,-0.0005277841063151611,0.0005893243765656481,-0.8955748774399599,0.3704798582646376,0.9951016284396619
ndx,5,辛,0.0008624229597128573,0.0005992225183388011,1.4392365662487379,0.1500835084390471,0.9951016284396619
ndx,5,壬,0.0001200414644616718,0.0006027574819041753,0.19915383560640007,0.8421424098508695,0.9951016284396619
ndx,5,癸,-5.5766014651105586e-05,0.000567239126047087,-0.09831129781142132,0.921685107285962,0.9951016284396619
ndx,10,甲,-0.0007602676542208273,0.000618102427707203,-1.2300026988099266,0.21869609422745073,0.9949507343499366
ndx,10,乙,-0.00017718026315025634,0.0006494351108670054,-0.2728221190777906,0.7849899557736373,0.9949507343499366
ndx,10,丙,0.00039523720929200213,0.000603164395940332,0.6552727779560464,0.5122921441837776,0.9949507343499366
ndx,10,丁,0.00021394618916437244,0.000636839327378826,0.3359500269007507,0.7369085511618345,0.9949507343499366
ndx,10,戊,4.410564761255604e-06,0.0006969524446572719,0.006328358261838968,0.9949507343499366,0.9949507343499366
ndx,10,己,-6.824826528202207e-05,0.0006052236428574042,-0.11276536547681101,0.9102165774994099,0.9949507343499366
ndx,10,庚,-0.0005277841063151611,0.0005717200976752307,-0.9231512211329893,0.3559284048685173,0.9949507343499366
ndx,10,辛,0.0008624229597128573,0.0005879462516155181,1.4668397958880615,0.1424196411016357,0.9949507343499366
ndx,10,壬,0.0001200414644616718,0.0005958923305041156,0.2014482454575621,0.8403480939270408,0.9949507343499366
ndx,10,癸,-5.5766014651105586e-05,0.000570537465092852,-0.0977429495222192,0.9221364100320046,0.9949507343499366
